date,btc_adj_close,btc_volume,eth_adj_close,eth_volume,sp500_adj_close,sp500_volume,vti_adj_close,vti_volume,agg_adj_close,agg_volume,tyield
14/12/2022,17815.65039,25534481470,1309.328735,7830915428,3995.320068,4472340000,190.9036255,3331200,88.99390411,10624000,3.49
15/12/2022,17364.86523,20964448341,1266.353882,6032859783,3895.75,4493900000,186.1477203,5537100,89.12451172,9423900,3.44
16/12/2022,16647.48438,24031608960,1168.259399,9297811507,3852.360107,7493660000,184.0180969,4755400,88.89186859,7546100,3.48
19/12/2022,16439.67969,17221074814,1167.609863,4943628091,3817.659912,3969610000,182.1654053,6433800,88.34609985,10351000,3.57
20/12/2022,16906.30469,22722096615,1217.703613,6684951715,3821.620117,3985370000,182.5473633,5637800,87.74662018,10282200,3.69
21/12/2022,16817.53516,14882945045,1213.599976,4217182733,3878.439941,3775200000,185.3073425,4973400,87.98818207,8489300,3.68
22/12/2022,16830.3418,16441573050,1218.182129,5297471739,3822.389893,3956950000,182.6790009,5153500,87.96136475,8267800,3.67
23/12/2022,16796.95313,15329265213,1220.159424,4835831923,3844.820068,2819280000,183.6865845,4214400,87.65716553,4823400,3.75
27/12/2022,16717.17383,15748580239,1212.791626,4091530737,3829.25,3030300000,182.9188843,6037700,87.02188873,7925700,3.84
28/12/2022,16552.57227,17005713920,1189.986084,4991669631,3783.219971,3083520000,180.6158752,5711900,86.86978149,12131200,3.88
29/12/2022,16642.3418,14472237479,1201.595337,4132233940,3849.280029,3003680000,183.9360504,5425700,87.19187927,7763300,3.83
30/12/2022,16602.58594,15929162910,1199.232788,4055668253,3839.5,2979870000,183.4658661,5979800,86.78030396,8469000,3.88
3/1/2023,16679.85742,13903079207,1214.778809,3392972131,3824.139893,3959140000,182.717392,4092500,87.29030609,19930800,3.79
4/1/2023,16863.23828,18421743322,1256.526611,6404416893,3852.969971,4414080000,184.3390961,3852500,87.77346802,10080100,3.69
5/1/2023,16836.73633,13692758566,1250.438599,4001786456,3808.100098,3893450000,182.1800232,4150000,87.70188141,9682000,3.71
6/1/2023,16951.96875,14413662913,1269.379028,4977252792,3895.080078,3923560000,186.2007141,3184300,88.65924835,8503000,3.55
9/1/2023,17196.55469,18624736866,1321.53894,7990438824,3892.090088,4311770000,186.2774963,3888300,88.8829422,7849600,3.53
10/1/2023,17446.29297,15808338949,1336.58606,5830173253,3919.25,3851030000,187.7456665,2963500,88.54293823,7291300,3.61
11/1/2023,17934.89648,18372283782,1387.932739,6314904311,3969.610107,4303360000,190.2214355,3435300,89.08872986,6102900,3.54
12/1/2023,18869.58789,34971338710,1417.938477,12230193038,3983.169922,4440260000,191.1426697,3552700,89.73292542,8342700,3.43
13/1/2023,19909.57422,29225029694,1451.614868,7684148212,3999.090088,3939700000,191.958313,2798600,89.40188599,6719000,3.49
17/1/2023,21161.51953,24999983362,1567.846069,7599462786,3990.969971,4235560000,191.699234,5426700,89.2408371,8174700,3.53
18/1/2023,20688.78125,30005625418,1515.506958,10354880595,3928.860107,4298710000,188.6764832,3890200,90.12661743,7779300,3.37
19/1/2023,21086.79297,21152848261,1552.556519,6432638856,3898.850098,3991500000,187.1411285,2282400,89.92080688,8633700,3.39
20/1/2023,22676.55273,28799154319,1659.75415,8528894754,3972.610107,4013360000,190.7300568,2429300,89.55399323,6095800,3.48
23/1/2023,22934.43164,26518700512,1628.251099,8264507375,4019.810059,3945210000,193.1482391,3438100,89.33029175,6573200,3.52
24/1/2023,22636.46875,26405069715,1556.604248,8180274691,4016.949951,3320430000,192.8315735,2679400,89.72396851,6538600,3.46
25/1/2023,23117.85938,30685366709,1611.71106,10598973448,4016.219971,3724020000,192.9275208,2802000,89.83133698,5431000,3.46
26/1/2023,23032.77734,26357839322,1603.105957,8395315241,4060.429932,3809590000,194.9138947,2806200,89.67921448,5399100,3.49
27/1/2023,23078.72852,25383335641,1598.156494,8124465373,4070.560059,3907760000,195.7007751,4521900,89.54505157,5123100,3.52
30/1/2023,22840.13867,27205595568,1567.326538,9180418120,4017.77002,3802000000,193.0810394,2992300,89.3034668,6822000,3.55
31/1/2023,23139.2832,22837828665,1586.5354,6585191019,4076.600098,4679320000,196.1709747,4827600,89.67030334,12083600,3.52
1/2/2023,23723.76953,26683255504,1641.792725,8116969489,4119.209961,4856930000,198.5603638,4385600,90.30264282,11593300,3.39
2/2/2023,23471.87109,32066936882,1643.241577,10558081069,4179.759766,5624360000,201.525528,3730800,90.40130615,9197800,3.4
3/2/2023,23449.32227,27083066007,1664.745605,8169519805,4136.47998,4694510000,199.4431915,2854200,89.53126526,9083000,3.53
6/2/2023,22760.10938,23825006542,1616.24707,6919871886,4111.080078,4114240000,197.9462128,2841700,89.03797913,9198900,3.63
7/2/2023,23264.29102,27187964471,1672.00354,8030277434,4164,4355860000,200.4411926,3028100,88.88549042,6224800,3.67
8/2/2023,22939.39844,25371367758,1650.716797,7806089579,4117.859863,4029820000,198.3012543,2945400,89.01106262,4900600,3.63
9/2/2023,21819.03906,32572572185,1546.438232,10524969124,4081.5,4270200000,196.3724823,2705900,88.66127777,5594800,3.67
10/2/2023,21651.18359,27078406594,1514.869141,8397387897,4090.459961,3891520000,196.7275238,2159800,88.2755661,5068200,3.74
13/2/2023,21808.10156,23918742607,1507.165894,9363855114,4137.290039,3448620000,199.068985,3467200,88.54466248,6832700,3.72
